datetime,station,line,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
2024-03-01 08:00:00,Pueyrredon.D,D,0,0,6,6
2024-03-01 09:00:00,Pueyrredon.D,D,0,0,5,5
2024-03-01 10:00:00,Pueyrredon.D,D,0,0,2,2
2024-03-01 11:00:00,Pueyrredon.D,D,0,0,3,3
2024-03-02 08:00:00,Pueyrredon.D,D,0,0,1,1
2024-03-04 08:00:00,Pueyrredon.D,D,0,0,1,1
2024-03-04 09:00:00,Pueyrredon.D,D,0,0,4,4
2024-03-04 10:00:00,Pueyrredon.D,D,0,0,1,1
2024-03-04 11:00:00,Pueyrredon.D,D,0,0,4,4
2024-03-05 08:00:00,Pueyrredon.D,D,0,0,4,4
2024-03-05 09:00:00,Pueyrredon.D,D,0,0,2,2
2024-03-05 10:00:00,Pueyrredon.D,D,0,0,5,5
2024-03-06 08:00:00,Pueyrredon.D,D,0,0,2,2
2024-03-06 09:00:00,Pueyrredon.D,D,0,0,6,6
2024-03-06 10:00:00,Pueyrredon.D,D,0,0,4,4
2024-03-06 11:00:00,Pueyrredon.D,D,0,0,5,5
2024-03-07 08:00:00,Pueyrredon.D,D,341,1,27,369
2024-03-07 09:00:00,Pueyrredon.D,D,365,0,26,391
2024-03-07 10:00:00,Pueyrredon.D,D,326,0,33,359
2024-03-07 11:00:00,Pueyrredon.D,D,408,0,44,452
2024-03-08 08:00:00,Pueyrredon.D,D,339,1,25,365
2024-03-08 09:00:00,Pueyrredon.D,D,365,0,28,393
2024-03-08 10:00:00,Pueyrredon.D,D,364,0,45,409
2024-03-08 11:00:00,Pueyrredon.D,D,396,0,19,415
2024-03-09 08:00:00,Pueyrredon.D,D,73,0,4,77
2024-03-09 09:00:00,Pueyrredon.D,D,113,0,12,125
2024-03-09 10:00:00,Pueyrredon.D,D,155,0,10,165
2024-03-09 11:00:00,Pueyrredon.D,D,217,0,8,225
2024-03-10 08:00:00,Pueyrredon.D,D,29,0,0,29
2024-03-10 09:00:00,Pueyrredon.D,D,49,0,3,52
2024-03-10 10:00:00,Pueyrredon.D,D,92,0,1,93
2024-03-10 11:00:00,Pueyrredon.D,D,104,0,0,104
2024-03-11 08:00:00,Pueyrredon.D,D,408,2,15,425
2024-03-11 09:00:00,Pueyrredon.D,D,417,0,16,433
2024-03-11 10:00:00,Pueyrredon.D,D,320,0,35,355
2024-03-11 11:00:00,Pueyrredon.D,D,378,0,45,423
2024-03-12 08:00:00,Pueyrredon.D,D,401,0,20,421
2024-03-12 09:00:00,Pueyrredon.D,D,344,0,23,367
2024-03-12 10:00:00,Pueyrredon.D,D,282,0,30,312
2024-03-12 11:00:00,Pueyrredon.D,D,306,0,36,342
2024-03-13 08:00:00,Pueyrredon.D,D,408,1,19,428
2024-03-13 09:00:00,Pueyrredon.D,D,445,0,16,461
2024-03-13 10:00:00,Pueyrredon.D,D,318,0,26,344
2024-03-13 11:00:00,Pueyrredon.D,D,392,0,38,430
2024-03-14 08:00:00,Pueyrredon.D,D,390,0,13,403
2024-03-14 09:00:00,Pueyrredon.D,D,443,2,19,464
2024-03-14 10:00:00,Pueyrredon.D,D,368,0,25,393
2024-03-14 11:00:00,Pueyrredon.D,D,351,0,31,382
2024-03-15 08:00:00,Pueyrredon.D,D,383,0,15,398
2024-03-15 09:00:00,Pueyrredon.D,D,464,1,39,504
2024-03-15 10:00:00,Pueyrredon.D,D,414,0,27,441
2024-03-15 11:00:00,Pueyrredon.D,D,444,0,38,482
2024-03-16 08:00:00,Pueyrredon.D,D,68,0,1,69
2024-03-16 09:00:00,Pueyrredon.D,D,112,0,5,117
2024-03-16 10:00:00,Pueyrredon.D,D,156,0,7,163
2024-03-16 11:00:00,Pueyrredon.D,D,182,0,5,187
2024-03-17 08:00:00,Pueyrredon.D,D,23,0,6,29
2024-03-17 09:00:00,Pueyrredon.D,D,41,0,2,43
2024-03-17 10:00:00,Pueyrredon.D,D,74,0,10,84
2024-03-17 11:00:00,Pueyrredon.D,D,107,0,4,111
2024-03-18 08:00:00,Pueyrredon.D,D,442,0,17,459
2024-03-18 09:00:00,Pueyrredon.D,D,467,0,31,498
2024-03-18 10:00:00,Pueyrredon.D,D,380,0,24,404
2024-03-18 11:00:00,Pueyrredon.D,D,460,0,51,511
2024-03-19 08:00:00,Pueyrredon.D,D,462,0,26,488
2024-03-19 09:00:00,Pueyrredon.D,D,520,0,36,556
2024-03-19 10:00:00,Pueyrredon.D,D,447,0,24,471
2024-03-19 11:00:00,Pueyrredon.D,D,490,0,58,548
2024-03-20 08:00:00,Pueyrredon.D,D,333,0,18,351
2024-03-20 09:00:00,Pueyrredon.D,D,298,0,14,312
2024-03-20 10:00:00,Pueyrredon.D,D,131,0,13,144
2024-03-20 11:00:00,Pueyrredon.D,D,176,0,12,188
2024-03-21 08:00:00,Pueyrredon.D,D,438,0,24,462
2024-03-21 09:00:00,Pueyrredon.D,D,496,0,25,521
2024-03-21 10:00:00,Pueyrredon.D,D,447,0,24,471
2024-03-21 11:00:00,Pueyrredon.D,D,492,0,53,545
2024-03-22 08:00:00,Pueyrredon.D,D,423,0,28,451
2024-03-22 09:00:00,Pueyrredon.D,D,459,0,30,489
2024-03-22 10:00:00,Pueyrredon.D,D,427,0,30,457
2024-03-22 11:00:00,Pueyrredon.D,D,444,0,45,489
2024-03-23 08:00:00,Pueyrredon.D,D,93,0,1,94
2024-03-23 09:00:00,Pueyrredon.D,D,137,0,8,145
2024-03-23 10:00:00,Pueyrredon.D,D,158,0,0,158
2024-03-23 11:00:00,Pueyrredon.D,D,212,0,4,216
2024-03-24 08:00:00,Pueyrredon.D,D,22,0,5,27
2024-03-24 09:00:00,Pueyrredon.D,D,47,0,0,47
2024-03-24 10:00:00,Pueyrredon.D,D,83,0,4,87
2024-03-24 11:00:00,Pueyrredon.D,D,191,1,3,195
2024-03-25 08:00:00,Pueyrredon.D,D,443,0,16,459
2024-03-25 09:00:00,Pueyrredon.D,D,468,0,5,473
2024-03-25 10:00:00,Pueyrredon.D,D,402,1,23,426
2024-03-25 11:00:00,Pueyrredon.D,D,497,0,26,523
2024-03-26 08:00:00,Pueyrredon.D,D,438,0,26,464
2024-03-26 09:00:00,Pueyrredon.D,D,506,0,12,518
2024-03-26 10:00:00,Pueyrredon.D,D,461,0,18,479
2024-03-26 11:00:00,Pueyrredon.D,D,519,0,35,554
2024-03-27 08:00:00,Pueyrredon.D,D,430,0,25,455
2024-03-27 09:00:00,Pueyrredon.D,D,504,1,27,532
2024-03-27 10:00:00,Pueyrredon.D,D,482,0,26,508
2024-03-27 11:00:00,Pueyrredon.D,D,492,1,29,522
2024-03-28 08:00:00,Pueyrredon.D,D,134,0,1,135
2024-03-28 09:00:00,Pueyrredon.D,D,133,0,9,142
2024-03-28 10:00:00,Pueyrredon.D,D,155,0,10,165
2024-03-28 11:00:00,Pueyrredon.D,D,229,0,11,240
2024-03-29 08:00:00,Pueyrredon.D,D,46,0,1,47
2024-03-29 09:00:00,Pueyrredon.D,D,71,0,4,75
2024-03-29 10:00:00,Pueyrredon.D,D,97,0,2,99
2024-03-29 11:00:00,Pueyrredon.D,D,152,1,1,154
2024-03-30 08:00:00,Pueyrredon.D,D,51,0,1,52
2024-03-30 09:00:00,Pueyrredon.D,D,106,0,6,112
2024-03-30 10:00:00,Pueyrredon.D,D,147,0,9,156
2024-03-30 11:00:00,Pueyrredon.D,D,163,0,12,175
2024-03-31 08:00:00,Pueyrredon.D,D,18,0,0,18
2024-03-31 09:00:00,Pueyrredon.D,D,43,0,1,44
2024-03-31 10:00:00,Pueyrredon.D,D,75,0,0,75
2024-03-31 11:00:00,Pueyrredon.D,D,125,0,5,130
